Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
1,Golden State Warriors,29.0,44,14,43,15,8.10,0.12,8.22,115.2,107.1,100.2,.246,.349,.612,.579,14.4,21.8,.199,.498,12.4,76.2,.190,Oracle Arena,568284,19596
2,Houston Rockets,29.6,44,13,43,14,8.72,-0.54,8.18,115.7,106.9,98.2,.304,.506,.595,.555,12.7,21.3,.239,.529,13.5,81.2,.179,Toyota Center,515604,17779
3,Toronto Raptors,25.8,41,16,43,14,8.49,-0.54,7.95,113.7,105.1,98.0,.252,.369,.574,.536,12.0,23.0,.202,.498,13.6,77.1,.217,Air Canada Centre,555018,19822
4,Oklahoma City Thunder,27.2,33,26,36,23,3.41,-0.11,3.30,110.2,106.7,96.1,.268,.338,.544,.513,12.5,28.1,.189,.524,14.8,77.7,.197,Chesapeake Energy Arena,527886,17596
5,Boston Celtics,24.6,40,19,37,22,3.51,-0.26,3.24,106.8,103.2,96.0,.240,.370,.549,.514,12.9,21.0,.184,.488,13.1,78.2,.201,TD Garden,577344,18042
6,Minnesota Timberwolves,27.0,36,25,36,25,2.93,-0.17,2.76,113.9,110.9,95.7,.285,.259,.569,.526,11.5,24.8,.228,.543,14.4,76.1,.181,Target Center,518975,16741
7,San Antonio Spurs,29.2,35,24,36,23,3.08,-0.50,2.59,107.4,104.1,94.6,.237,.292,.545,.510,12.8,23.5,.184,.505,13.1,79.2,.167,AT&T Center,514797,18386
8,Philadelphia 76ers,25.5,30,25,31,24,1.98,0.60,2.58,107.6,105.6,99.2,.269,.337,.563,.527,15.4,25.7,.205,.491,12.7,78.1,.231,Wells Fargo Center,575392,20604
9,Utah Jazz,27.1,30,28,33,25,1.81,0.47,2.28,108.1,106.2,95.4,.248,.352,.562,.524,13.4,20.6,.198,.520,14.2,79.4,.198,Vivint Smart Home Arena,478522,17723
10,Washington Wizards,26.9,33,24,32,25,1.89,-0.56,1.33,109.7,107.8,97.2,.263,.310,.560,.524,13.0,23.1,.202,.516,13.8,76.3,.213,Capital One Arena,461397,17089
11,Denver Nuggets,24.7,32,26,31,27,1.03,0.01,1.05,111.0,109.9,96.7,.251,.353,.564,.531,13.7,26.1,.190,.541,13.2,78.4,.169,Pepsi Center,501490,16716
12,Portland Trail Blazers,25.6,32,26,31,27,1.05,-0.24,0.81,108.4,107.3,96.4,.239,.312,.551,.513,12.8,22.8,.192,.505,11.6,78.4,.194,Moda Center,539156,19256
13,Los Angeles Clippers,27.2,30,26,30,26,0.91,-0.14,0.77,109.5,108.6,98.4,.295,.335,.562,.524,13.3,22.8,.223,.512,13.2,76.0,.210,STAPLES Center,471932,16855
14,Indiana Pacers,26.2,33,25,32,26,1.31,-0.55,0.76,110.5,109.1,96.3,.231,.288,.566,.534,12.3,21.9,.178,.529,13.7,76.0,.170,Bankers Life Fieldhouse,484341,15624
15,New Orleans Pelicans,27.9,31,26,29,28,0.16,0.15,0.31,109.6,109.4,99.9,.256,.338,.577,.544,13.8,19.9,.195,.522,12.9,77.0,.181,Smoothie King Center,437694,16211
16,Cleveland Cavaliers,31.1,34,22,28,28,0.20,-0.15,0.04,112.3,112.1,97.7,.279,.392,.586,.547,13.1,19.3,.221,.542,12.3,76.6,.162,Quicken Loans Arena,514050,19039
17,Detroit Pistons,25.9,28,29,28,29,-0.11,0.01,-0.10,107.2,107.3,96.3,.228,.332,.543,.512,12.5,22.4,.171,.526,14.0,78.6,.177,Little Caesars Arena,531316,17139
18,Milwaukee Bucks,25.6,32,25,28,29,-0.04,-0.32,-0.36,109.1,109.1,95.6,.290,.301,.570,.531,13.0,19.5,.224,.524,14.3,76.9,.227,BMO Harris Bradley Center,473144,16504
19,Charlotte Hornets,26.7,24,33,27,30,-0.61,0.24,-0.38,107.4,108.0,98.2,.309,.307,.538,.497,11.5,22.4,.228,.528,12.8,81.6,.175,Spectrum Center,493140,16438
20,Miami Heat,26.3,30,28,27,31,-0.90,0.03,-0.86,105.6,106.5,94.9,.229,.370,.550,.518,14.0,20.9,.173,.508,12.7,79.6,.215,AmericanAirlines Arena,510122,19620
21,Dallas Mavericks,28.2,18,40,24,34,-2.38,0.58,-1.80,106.8,109.3,95.2,.224,.381,.547,.515,11.7,17.8,.172,.535,13.3,79.2,.199,American Airlines Center,592721,19757
22,New York Knicks,26.8,23,36,25,34,-2.44,-0.08,-2.52,106.5,109.0,96.5,.233,.256,.545,.508,13.8,24.4,.185,.518,12.5,77.3,.200,Madison Square Garden (IV),541718,19347
23,Los Angeles Lakers,23.6,23,34,23,34,-2.95,0.29,-2.66,105.2,108.1,100.7,.260,.310,.539,.510,13.8,24.2,.181,.516,13.0,77.1,.194,STAPLES Center,529366,18906
