Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Memphis Grizzlies,56,240.4,36.1,79.6,.454,10.2,27.8,.368,25.9,51.8,.500,20.4,26.6,.768,9.6,32.2,41.9,21.1,7.5,5.2,14.6,20.6,102.9
2,Philadelphia 76ers,55,241.8,37.8,87.0,.435,9.8,29.5,.331,28.1,57.5,.488,20.1,26.3,.762,10.1,31.8,41.9,20.8,8.9,5.3,14.3,20.7,105.5
3,San Antonio Spurs,59,240.0,37.6,83.7,.450,9.3,26.5,.349,28.4,57.2,.497,13.9,18.6,.752,9.0,33.0,42.0,21.1,7.9,3.7,13.9,19.4,98.5
4,Boston Celtics,59,241.3,36.8,84.7,.434,9.1,26.6,.342,27.7,58.1,.476,17.0,22.1,.769,9.8,34.4,44.2,20.6,6.9,4.4,14.2,18.8,99.6
5,Miami Heat,58,240.9,37.2,82.4,.452,9.2,25.9,.355,28.1,56.6,.496,17.7,22.6,.786,8.6,33.4,42.0,20.2,7.5,4.7,13.4,19.2,101.4
6,Toronto Raptors,57,240.9,38.1,85.2,.447,8.7,25.1,.348,29.3,60.0,.489,18.5,24.0,.770,10.0,32.6,42.7,22.0,7.0,5.0,15.1,19.9,103.4
7,Utah Jazz,58,240.9,37.7,82.1,.460,9.9,26.8,.371,27.8,55.3,.502,16.3,21.2,.770,8.7,33.5,42.2,20.5,8.2,4.6,15.1,20.0,101.7
8,Detroit Pistons,57,240.4,38.8,84.2,.461,10.9,29.5,.369,27.9,54.7,.511,14.9,18.9,.791,9.0,34.2,43.2,24.6,7.1,5.1,15.0,18.2,103.5
9,Milwaukee Bucks,57,240.9,38.1,82.1,.464,9.8,26.7,.367,28.3,55.4,.511,18.6,23.9,.779,9.4,32.7,42.1,23.1,7.0,4.1,15.5,19.8,104.6
10,Los Angeles Clippers,56,240.4,39.2,86.7,.452,10.5,29.9,.352,28.6,56.8,.504,18.2,23.2,.783,10.7,33.6,44.3,23.8,8.3,5.2,14.7,22.2,107.1
