Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors,58,240.9,43.6,85.4,.510,11.7,29.8,.393,31.9,55.6,.573,17.0,21.0,.811,8.6,35.7,44.3,30.5,8.1,7.9,15.9,19.8,115.8
2,Minnesota Timberwolves,61,241.6,41.1,85.7,.480,7.9,22.2,.356,33.2,63.5,.523,19.6,24.4,.802,10.4,31.3,41.7,22.9,8.7,4.3,12.5,17.9,109.7
3,Houston Rockets,57,240.9,39.1,84.6,.462,15.7,42.8,.366,23.4,41.7,.562,20.2,25.7,.787,9.0,34.5,43.6,21.9,8.6,4.7,13.9,19.7,114.1
4,Toronto Raptors,57,240.9,41.3,87.8,.470,11.6,32.4,.357,29.7,55.4,.537,17.7,22.1,.800,9.7,33.9,43.6,23.5,8.2,6.0,13.2,22.1,111.9
5,New Orleans Pelicans,57,243.9,41.9,86.7,.483,10.7,29.3,.365,31.2,57.4,.542,16.9,22.2,.760,8.5,35.0,43.5,26.4,7.8,5.4,15.4,19.3,111.3
6,Oklahoma City Thunder,59,241.7,39.8,87.7,.454,10.4,29.6,.351,29.4,58.1,.506,16.6,23.5,.706,12.6,32.3,44.8,21.1,9.2,5.0,13.9,20.3,106.6
7,Denver Nuggets,58,241.3,40.2,86.2,.466,11.1,30.4,.366,29.0,55.8,.520,16.4,21.6,.760,11.2,33.2,44.4,24.3,7.8,4.6,15.2,17.9,107.9
8,Brooklyn Nets,59,242.1,37.8,86.8,.436,12.0,34.7,.346,25.8,52.1,.496,17.7,22.9,.770,10.1,35.1,45.2,22.6,6.1,4.1,15.4,20.7,105.4
9,Indiana Pacers,58,240.9,41.2,85.7,.480,9.2,24.7,.373,31.9,61.0,.524,15.3,19.8,.772,9.1,32.8,41.9,22.4,8.3,4.3,13.2,18.8,106.8
10,Cleveland Cavaliers,56,240.9,39.8,83.8,.475,12.2,32.9,.370,27.6,50.9,.542,18.5,23.4,.790,8.2,33.6,41.7,23.6,7.0,3.8,14.2,18.6,110.2
11,Phoenix Suns,59,240.4,38.1,86.6,.440,9.2,27.7,.332,28.9,58.9,.491,18.4,24.4,.753,10.7,33.2,43.9,20.9,6.7,4.4,15.6,22.3,103.9
12,Washington Wizards,57,241.8,40.1,85.9,.467,9.8,26.6,.369,30.3,59.3,.511,17.4,22.6,.768,9.9,33.0,42.9,24.3,8.1,4.5,14.3,21.4,107.4
13,New York Knicks,59,242.1,39.9,86.3,.463,7.8,22.1,.355,32.1,64.2,.500,15.9,20.1,.793,10.4,33.8,44.2,22.8,6.7,5.3,15.3,20.4,103.7
14,Atlanta Hawks,59,240.4,38.2,84.9,.450,11.0,30.0,.366,27.2,54.9,.496,16.3,20.5,.796,9.4,31.4,40.9,23.9,7.9,4.3,15.3,19.8,103.7
15,Los Angeles Lakers,57,243.1,40.9,89.3,.459,9.2,27.7,.333,31.7,61.6,.515,16.1,23.2,.696,11.1,35.1,46.2,23.5,8.1,4.8,16.0,21.7,107.3
16,Portland Trail Blazers,58,241.3,39.1,86.3,.454,10.2,26.9,.379,28.9,59.4,.487,16.5,20.6,.803,9.8,35.1,44.9,19.1,6.9,5.1,14.0,19.6,105.0
17,Boston Celtics,59,241.3,37.9,85.0,.446,11.6,31.4,.370,26.3,53.6,.491,15.7,20.4,.767,9.1,35.2,44.3,22.0,7.1,4.7,13.9,20.4,103.1
18,Los Angeles Clippers,56,240.4,39.5,85.0,.465,10.1,28.5,.353,29.4,56.5,.521,18.9,25.0,.757,9.9,33.8,43.8,22.1,7.8,4.8,14.8,20.3,108.0
19,Charlotte Hornets,57,241.3,38.3,86.7,.442,9.6,26.6,.362,28.7,60.1,.477,19.8,26.8,.736,10.2,35.4,45.6,20.9,7.0,4.6,12.8,17.8,106.0
20,Orlando Magic,57,240.4,39.5,86.0,.460,10.4,29.3,.355,29.1,56.7,.514,16.1,21.1,.763,9.0,32.5,41.5,23.3,7.4,4.8,14.7,19.7,105.5
21,Utah Jazz,58,240.9,38.0,83.0,.458,11.0,29.2,.376,27.1,53.8,.502,16.4,20.6,.797,8.7,33.4,42.1,21.4,8.9,4.8,14.3,19.7,103.5
22,San Antonio Spurs,59,240.0,38.6,84.4,.458,8.8,24.6,.357,29.9,59.8,.500,15.5,20.0,.775,10.1,34.2,44.4,22.8,7.3,5.5,13.7,17.0,101.6
23,Milwaukee Bucks,57,240.9,38.9,81.3,.478,8.6,24.5,.349,30.4,56.8,.534,18.2,23.6,.771,7.9,31.3,39.3,22.5,8.4,5.3,13.6,21.7,104.6
24,Dallas Mavericks,58,240.9,37.9,84.9,.447,11.7,32.4,.361,26.2,52.5,.500,14.6,19.0,.767,7.8,32.8,40.6,22.5,7.1,3.8,12.3,19.4,102.1
25,Philadelphia 76ers,55,241.8,39.8,85.4,.466,10.4,28.8,.362,29.4,56.6,.518,17.5,22.9,.763,11.0,35.9,47.0,25.6,8.3,5.0,17.5,22.8,107.5
26,Detroit Pistons,57,240.4,38.9,86.4,.450,10.7,28.7,.375,28.2,57.8,.488,14.8,19.7,.751,9.9,33.0,42.9,22.8,7.6,3.8,13.6,18.5,103.4
27,Chicago Bulls,57,243.1,38.8,88.7,.438,11.0,30.9,.356,27.8,57.8,.481,14.7,19.1,.769,9.2,35.5,44.7,23.5,7.1,3.7,13.6,19.0,103.3
28,Miami Heat,58,240.9,37.6,83.1,.452,11.0,30.7,.359,26.5,52.3,.507,14.4,19.1,.756,8.8,33.8,42.6,21.8,7.0,5.2,14.9,19.9,100.5
29,Sacramento Kings,57,240.4,38.7,85.3,.453,8.9,23.4,.382,29.7,61.9,.480,12.4,17.2,.723,9.4,30.9,40.3,21.2,8.3,4.0,14.3,19.9,98.7
30,Memphis Grizzlies,56,240.4,36.3,81.6,.445,9.3,26.7,.348,27.0,54.9,.492,17.3,21.7,.798,9.3,31.3,40.6,21.1,7.3,5.1,14.7,23.5,99.2
,League Average,58,241.2,39.4,85.5,.460,10.4,28.8,.361,28.9,56.7,.510,16.8,21.8,.769,9.6,33.6,43.2,22.9,7.7,4.8,14.4,20.0,105.9
