月份,行业,新增数量
201709,采矿业,18
201708,采矿业,33
201707,采矿业,28
201706,采矿业,30
201705,采矿业,21
201704,采矿业,20
201703,采矿业,35
201702,采矿业,31
201701,采矿业,20
201612,采矿业,26
201611,采矿业,35
201610,采矿业,26
201609,采矿业,26
201608,采矿业,19
201607,采矿业,44
201606,采矿业,87
201605,采矿业,60
201604,采矿业,400
201603,采矿业,25
201602,采矿业,8
201601,采矿业,28
201512,采矿业,41
201511,采矿业,36
201510,采矿业,39
201509,采矿业,25
201508,采矿业,59
201507,采矿业,38
201506,采矿业,37
201505,采矿业,41
201504,采矿业,44
201503,采矿业,37
201502,采矿业,11
201501,采矿业,47
201412,采矿业,57
201411,采矿业,51
201410,采矿业,28
201409,采矿业,40
201408,采矿业,40
201407,采矿业,54
201406,采矿业,38
201405,采矿业,31
201404,采矿业,19
201403,采矿业,24
201402,采矿业,12
201401,采矿业,35
201312,采矿业,41
201311,采矿业,33
201310,采矿业,36
201309,采矿业,24
201308,采矿业,29
201307,采矿业,33
201306,采矿业,47
201305,采矿业,28
201304,采矿业,25
201303,采矿业,16
201302,采矿业,5
201301,采矿业,71
201212,采矿业,21
201211,采矿业,13
201210,采矿业,24
201209,采矿业,15
201208,采矿业,20
201207,采矿业,21
201206,采矿业,15
201205,采矿业,12
201204,采矿业,24
201203,采矿业,30
201202,采矿业,11
201201,采矿业,8
201112,采矿业,19
201111,采矿业,18
201110,采矿业,15
201109,采矿业,20
201108,采矿业,22
201107,采矿业,17
201106,采矿业,13
201105,采矿业,12
201104,采矿业,22
201103,采矿业,18
201102,采矿业,5
201101,采矿业,15
201012,采矿业,16
201011,采矿业,19
201010,采矿业,14
201009,采矿业,10
201008,采矿业,15
201007,采矿业,15
201006,采矿业,17
201005,采矿业,10
201004,采矿业,13
201003,采矿业,11
201002,采矿业,7
201001,采矿业,13
201709,电力、热力、燃气及水生产和供应业,100
201708,电力、热力、燃气及水生产和供应业,154
201707,电力、热力、燃气及水生产和供应业,131
201706,电力、热力、燃气及水生产和供应业,155
201705,电力、热力、燃气及水生产和供应业,138
201704,电力、热力、燃气及水生产和供应业,138
201703,电力、热力、燃气及水生产和供应业,208
201702,电力、热力、燃气及水生产和供应业,88
201701,电力、热力、燃气及水生产和供应业,114
201612,电力、热力、燃气及水生产和供应业,190
201611,电力、热力、燃气及水生产和供应业,194
201610,电力、热力、燃气及水生产和供应业,149
201609,电力、热力、燃气及水生产和供应业,202
201608,电力、热力、燃气及水生产和供应业,179
201607,电力、热力、燃气及水生产和供应业,148
201606,电力、热力、燃气及水生产和供应业,148
201605,电力、热力、燃气及水生产和供应业,147
201604,电力、热力、燃气及水生产和供应业,121
201603,电力、热力、燃气及水生产和供应业,132
201602,电力、热力、燃气及水生产和供应业,60
201601,电力、热力、燃气及水生产和供应业,98
201512,电力、热力、燃气及水生产和供应业,138
201511,电力、热力、燃气及水生产和供应业,134
201510,电力、热力、燃气及水生产和供应业,85
201509,电力、热力、燃气及水生产和供应业,105
201508,电力、热力、燃气及水生产和供应业,133
201507,电力、热力、燃气及水生产和供应业,167
201506,电力、热力、燃气及水生产和供应业,124
201505,电力、热力、燃气及水生产和供应业,120
201504,电力、热力、燃气及水生产和供应业,89
201503,电力、热力、燃气及水生产和供应业,95
201502,电力、热力、燃气及水生产和供应业,78
201501,电力、热力、燃气及水生产和供应业,140
201412,电力、热力、燃气及水生产和供应业,157
201411,电力、热力、燃气及水生产和供应业,101
201410,电力、热力、燃气及水生产和供应业,92
201409,电力、热力、燃气及水生产和供应业,107
201408,电力、热力、燃气及水生产和供应业,99
201407,电力、热力、燃气及水生产和供应业,138
201406,电力、热力、燃气及水生产和供应业,97
201405,电力、热力、燃气及水生产和供应业,73
201404,电力、热力、燃气及水生产和供应业,102
201403,电力、热力、燃气及水生产和供应业,73
201402,电力、热力、燃气及水生产和供应业,53
201401,电力、热力、燃气及水生产和供应业,55
201312,电力、热力、燃气及水生产和供应业,95
201311,电力、热力、燃气及水生产和供应业,113
201310,电力、热力、燃气及水生产和供应业,86
201309,电力、热力、燃气及水生产和供应业,104
201308,电力、热力、燃气及水生产和供应业,72
201307,电力、热力、燃气及水生产和供应业,49
201306,电力、热力、燃气及水生产和供应业,59
201305,电力、热力、燃气及水生产和供应业,62
